Year,Wellbeing measure,Wellbeing measure category,Demographic,Demographic category,Type,Estimate(percent),Absolute sampling error (percentage points),Flag
2014,Overall life satisfaction,0 to 6,Total population,Total population,Proportions,17.4, 0.9,
2014,Overall life satisfaction,0 to 6,Life stage (years),15-24 years,Proportions,16.7, 2.4,
2014,Overall life satisfaction,0 to 6,Life stage (years),25-44 years,Proportions,17.8, 1.8,
2014,Overall life satisfaction,0 to 6,Life stage (years),45-64 years,Proportions,19.2, 1.6,
2014,Overall life satisfaction,0 to 6,Life stage (years),65 years and over,Proportions,14.1, 1.7,
2014,Overall life satisfaction,0 to 6,Age group (years),15-24 years,Proportions,16.7, 2.4,
2014,Overall life satisfaction,0 to 6,Age group (years),25-34 years,Proportions,17.9, 2.7,
2014,Overall life satisfaction,0 to 6,Age group (years),35-44 years,Proportions,17.7, 2.4,
2014,Overall life satisfaction,0 to 6,Age group (years),45-54 years,Proportions,19.8, 2.3,
2014,Overall life satisfaction,0 to 6,Age group (years),55-64 years,Proportions,18.5, 2.3,
2014,Overall life satisfaction,0 to 6,Age group (years),65-74 years,Proportions,14.2, 2.2,
2014,Overall life satisfaction,0 to 6,Age group (years),75 years and over,Proportions,13.8, 2.5,
2014,Overall life satisfaction,0 to 6,Sex,Male,Proportions,16.6, 1.4,
2014,Overall life satisfaction,0 to 6,Sex,Female,Proportions,18.2, 1.5,
2014,Overall life satisfaction,0 to 6,Labour force status,Employed,Proportions,15.6, 1.2,
2014,Overall life satisfaction,0 to 6,Labour force status,Unemployed,Proportions,29.5, 5.6,
2014,Overall life satisfaction,0 to 6,Labour force status,Not in the labour force,Proportions,20.0, 1.6,
2014,Overall life satisfaction,0 to 6,Highest qualification,No qualification,Proportions,23.2, 2.6,
2014,Overall life satisfaction,0 to 6,Highest qualification,Level 1-4 certificate,Proportions,17.9, 1.4,
2014,Overall life satisfaction,0 to 6,Highest qualification,Level 5-6 diploma,Proportions,17.1, 2.6,
2014,Overall life satisfaction,0 to 6,Highest qualification,Level 7 and above,Proportions,12.4, 1.8,
2014,Overall life satisfaction,0 to 6,Household income,"$30,000 or less",Proportions,27.0, 2.3,
2014,Overall life satisfaction,0 to 6,Household income,"$30,001-$70,000",Proportions,21.5, 1.8,
2014,Overall life satisfaction,0 to 6,Household income,"$70,001-$100,000",Proportions,16.1, 1.9,
2014,Overall life satisfaction,0 to 6,Household income,"$100,001-$150,000",Proportions,12.5, 2.2,
2014,Overall life satisfaction,0 to 6,Household income,"$150,001 or more",Proportions,10.9, 2.7,
2014,Overall life satisfaction,0 to 6,Personal income,"$30,000 or less",Proportions,21.7, 1.4,
2014,Overall life satisfaction,0 to 6,Personal income,"$30,001-$70,000",Proportions,16.0, 1.8,
2014,Overall life satisfaction,0 to 6,Personal income,"$70,001 or more",Proportions, 7.5, 1.6,
2014,Overall life satisfaction,0 to 6,Housing tenure,Owner-occupied,Proportions,14.4, 1.0,
2014,Overall life satisfaction,0 to 6,Housing tenure,Not owner-occupied,Proportions,23.6, 1.8,
2014,Overall life satisfaction,0 to 6,Family type,Couple without child(ren),Proportions,12.6, 1.4,
2014,Overall life satisfaction,0 to 6,Family type,Couple with child(ren),Proportions,14.8, 1.6,
2014,Overall life satisfaction,0 to 6,Family type,One parent with child(ren),Proportions,30.4, 4.1,
2014,Overall life satisfaction,0 to 6,Family type,Not in a family nucleus,Proportions,23.3, 2.5,
2014,Overall life satisfaction,0 to 6,Migrant status,Born in NZ,Proportions,17.6, 1.2,
2014,Overall life satisfaction,0 to 6,Migrant status,Long-term migrant,Proportions,17.8, 2.1,
2014,Overall life satisfaction,0 to 6,Migrant status,Recent migrant,Proportions,11.8, 4.5,*
2014,Overall life satisfaction,0 to 6,Ethnicity,European,Proportions,16.0, 1.1,
2014,Overall life satisfaction,0 to 6,Ethnicity,Māori,Proportions,22.2, 3.0,
2014,Overall life satisfaction,0 to 6,Ethnicity,Pacific peoples,Proportions,21.9, 4.5,
2014,Overall life satisfaction,0 to 6,Ethnicity,Asian,Proportions,18.4, 3.2,
2014,Overall life satisfaction,0 to 6,Region,Northland,Proportions,19.8, 4.6,
2014,Overall life satisfaction,0 to 6,Region,Auckland,Proportions,17.3, 2.1,
2014,Overall life satisfaction,0 to 6,Region,Waikato,Proportions,15.0, 3.1,
2014,Overall life satisfaction,0 to 6,Region,Bay of Plenty,Proportions,17.3, 2.9,
2014,Overall life satisfaction,0 to 6,Region,Gisborne/Hawke's Bay,Proportions,18.1, 3.9,
2014,Overall life satisfaction,0 to 6,Region,Taranaki,Proportions,13.1, 4.6,*
2014,Overall life satisfaction,0 to 6,Region,Manawatū-Whanganui,Proportions,21.3, 4.2,
2014,Overall life satisfaction,0 to 6,Region,Wellington,Proportions,16.8, 2.6,
2014,Overall life satisfaction,0 to 6,Region,Nelson/Tasman/Marlborough/West Coast,Proportions,18.1, 3.6,
2014,Overall life satisfaction,0 to 6,Region,Canterbury,Proportions,18.4, 2.6,
2014,Overall life satisfaction,0 to 6,Region,Otago,Proportions,18.0, 4.5,
2014,Overall life satisfaction,0 to 6,Region,Southland,Proportions,16.2, 4.0,
2016,Overall life satisfaction,0 to 6,Total population,Total population,Proportions,17.3, 0.9,
2016,Overall life satisfaction,0 to 6,Life stage (years),15-24 years,Proportions,16.6, 2.7,
2016,Overall life satisfaction,0 to 6,Life stage (years),25-44 years,Proportions,18.1, 1.5,
2016,Overall life satisfaction,0 to 6,Life stage (years),45-64 years,Proportions,19.3, 1.7,
2016,Overall life satisfaction,0 to 6,Life stage (years),65 years and over,Proportions,13.0, 1.8,
2016,Overall life satisfaction,0 to 6,Age group (years),15-24 years,Proportions,16.6, 2.7,
2016,Overall life satisfaction,0 to 6,Age group (years),25-34 years,Proportions,16.9, 2.3,
2016,Overall life satisfaction,0 to 6,Age group (years),35-44 years,Proportions,19.4, 2.2,
2016,Overall life satisfaction,0 to 6,Age group (years),45-54 years,Proportions,18.7, 2.3,
2016,Overall life satisfaction,0 to 6,Age group (years),55-64 years,Proportions,19.9, 2.6,
2016,Overall life satisfaction,0 to 6,Age group (years),65-74 years,Proportions,14.1, 2.6,
2016,Overall life satisfaction,0 to 6,Age group (years),75 years and over,Proportions,11.3, 2.4,
2016,Overall life satisfaction,0 to 6,Sex,Male,Proportions,18.6, 1.6,
2016,Overall life satisfaction,0 to 6,Sex,Female,Proportions,16.0, 1.4,
2016,Overall life satisfaction,0 to 6,Labour force status,Employed,Proportions,15.8, 1.0,
2016,Overall life satisfaction,0 to 6,Labour force status,Unemployed,Proportions,23.3, 6.7,
2016,Overall life satisfaction,0 to 6,Labour force status,Not in the labour force,Proportions,20.0, 1.8,
2016,Overall life satisfaction,0 to 6,Highest qualification,No qualification,Proportions,23.8, 2.7,
2016,Overall life satisfaction,0 to 6,Highest qualification,Level 1-4 certificate,Proportions,18.0, 1.4,
2016,Overall life satisfaction,0 to 6,Highest qualification,Level 5-6 diploma,Proportions,15.0, 3.0,
2016,Overall life satisfaction,0 to 6,Highest qualification,Level 7 and above,Proportions,12.5, 1.7,
2016,Overall life satisfaction,0 to 6,Household income,"$30,000 or less",Proportions,25.6, 2.4,
2016,Overall life satisfaction,0 to 6,Household income,"$30,001-$70,000",Proportions,21.8, 1.9,
2016,Overall life satisfaction,0 to 6,Household income,"$70,001-$100,000",Proportions,17.2, 2.0,
2016,Overall life satisfaction,0 to 6,Household income,"$100,001-$150,000",Proportions,14.1, 2.1,
2016,Overall life satisfaction,0 to 6,Household income,"$150,001 or more",Proportions,10.5, 2.3,
2016,Overall life satisfaction,0 to 6,Personal income,"$30,000 or less",Proportions,20.6, 1.6,
2016,Overall life satisfaction,0 to 6,Personal income,"$30,001-$70,000",Proportions,16.7, 1.7,
2016,Overall life satisfaction,0 to 6,Personal income,"$70,001 or more",Proportions, 9.7, 1.8,
2016,Overall life satisfaction,0 to 6,Housing tenure,Owner-occupied,Proportions,14.3, 1.1,
2016,Overall life satisfaction,0 to 6,Housing tenure,Not owner-occupied,Proportions,23.0, 1.9,
2016,Overall life satisfaction,0 to 6,Family type,Couple without child(ren),Proportions,12.3, 1.3,
2016,Overall life satisfaction,0 to 6,Family type,Couple with child(ren),Proportions,15.4, 1.6,
2016,Overall life satisfaction,0 to 6,Family type,One parent with child(ren),Proportions,28.2, 3.9,
2016,Overall life satisfaction,0 to 6,Family type,Not in a family nucleus,Proportions,23.5, 2.4,
2016,Overall life satisfaction,0 to 6,Migrant status,Born in NZ,Proportions,18.3, 1.2,
2016,Overall life satisfaction,0 to 6,Migrant status,Long-term migrant,Proportions,14.5, 1.7,
2016,Overall life satisfaction,0 to 6,Migrant status,Recent migrant,Proportions,16.5, 4.8,
2016,Overall life satisfaction,0 to 6,Ethnicity,European,Proportions,16.3, 1.1,
2016,Overall life satisfaction,0 to 6,Ethnicity,Māori,Proportions,23.6, 3.6,
2016,Overall life satisfaction,0 to 6,Ethnicity,Pacific peoples,Proportions,19.9, 4.0,
2016,Overall life satisfaction,0 to 6,Ethnicity,Asian,Proportions,16.3, 3.2,
2016,Overall life satisfaction,0 to 6,Region,Northland,Proportions,19.3, 5.5,
2016,Overall life satisfaction,0 to 6,Region,Auckland,Proportions,17.1, 1.9,
2016,Overall life satisfaction,0 to 6,Region,Waikato,Proportions,15.1, 3.2,
2016,Overall life satisfaction,0 to 6,Region,Bay of Plenty,Proportions,15.8, 3.3,
2016,Overall life satisfaction,0 to 6,Region,Gisborne/Hawke's Bay,Proportions,17.5, 3.8,
2016,Overall life satisfaction,0 to 6,Region,Taranaki,Proportions,24.1, 6.7,
2016,Overall life satisfaction,0 to 6,Region,Manawatū-Whanganui,Proportions,18.7, 4.3,
2016,Overall life satisfaction,0 to 6,Region,Wellington,Proportions,18.3, 2.9,
2016,Overall life satisfaction,0 to 6,Region,Nelson/Tasman/Marlborough/West Coast,Proportions,18.3, 5.0,
2016,Overall life satisfaction,0 to 6,Region,Canterbury,Proportions,18.2, 2.8,
2016,Overall life satisfaction,0 to 6,Region,Otago,Proportions, 8.8, 3.1,*
2016,Overall life satisfaction,0 to 6,Region,Southland,Proportions,25.5, 7.4,
2018,Overall life satisfaction,0 to 6,Total population,Total population,Proportions,18.9, 0.9,
2018,Overall life satisfaction,0 to 6,Life stage (years),15-24 years,Proportions,17.5, 2.9,
2018,Overall life satisfaction,0 to 6,Life stage (years),25-44 years,Proportions,18.6, 1.8,
2018,Overall life satisfaction,0 to 6,Life stage (years),45-64 years,Proportions,21.1, 1.8,
2018,Overall life satisfaction,0 to 6,Life stage (years),65 years and over,Proportions,16.7, 2.1,
2018,Overall life satisfaction,0 to 6,Age group (years),15-24 years,Proportions,17.5, 2.9,
2018,Overall life satisfaction,0 to 6,Age group (years),25-34 years,Proportions,18.4, 2.8,
2018,Overall life satisfaction,0 to 6,Age group (years),35-44 years,Proportions,18.9, 2.5,
2018,Overall life satisfaction,0 to 6,Age group (years),45-54 years,Proportions,20.7, 2.5,
2018,Overall life satisfaction,0 to 6,Age group (years),55-64 years,Proportions,21.7, 2.6,
2018,Overall life satisfaction,0 to 6,Age group (years),65-74 years,Proportions,17.6, 2.6,
2018,Overall life satisfaction,0 to 6,Age group (years),75 years and over,Proportions,15.4, 3.3,
2018,Overall life satisfaction,0 to 6,Sex,Male,Proportions,19.1, 1.4,
2018,Overall life satisfaction,0 to 6,Sex,Female,Proportions,18.6, 1.3,
2018,Overall life satisfaction,0 to 6,Labour force status,Employed,Proportions,16.2, 1.1,
2018,Overall life satisfaction,0 to 6,Labour force status,Unemployed,Proportions,30.9, 6.6,
2018,Overall life satisfaction,0 to 6,Labour force status,Not in the labour force,Proportions,23.7, 1.7,
2018,Overall life satisfaction,0 to 6,Highest qualification,No qualification,Proportions,24.2, 2.7,
2018,Overall life satisfaction,0 to 6,Highest qualification,Level 1-4 certificate,Proportions,19.3, 1.5,
2018,Overall life satisfaction,0 to 6,Highest qualification,Level 5-6 diploma,Proportions,17.5, 2.7,
2018,Overall life satisfaction,0 to 6,Highest qualification,Level 7 and above,Proportions,15.2, 2.2,
2018,Overall life satisfaction,0 to 6,Household income,"$30,000 or less",Proportions,30.2, 2.6,
2018,Overall life satisfaction,0 to 6,Household income,"$30,001-$70,000",Proportions,23.5, 2.0,
2018,Overall life satisfaction,0 to 6,Household income,"$70,001-$100,000",Proportions,20.0, 2.4,
2018,Overall life satisfaction,0 to 6,Household income,"$100,001-$150,000",Proportions,17.6, 2.5,
2018,Overall life satisfaction,0 to 6,Household income,"$150,001 or more",Proportions,10.5, 1.6,
2018,Overall life satisfaction,0 to 6,Personal income,"$30,000 or less",Proportions,22.5, 1.4,
2018,Overall life satisfaction,0 to 6,Personal income,"$30,001-$70,000",Proportions,18.4, 1.7,
2018,Overall life satisfaction,0 to 6,Personal income,"$70,001 or more",Proportions,12.1, 1.8,
2018,Overall life satisfaction,0 to 6,Housing tenure,Owner-occupied,Proportions,15.6, 1.1,
2018,Overall life satisfaction,0 to 6,Housing tenure,Not owner-occupied,Proportions,25.1, 1.4,
2018,Overall life satisfaction,0 to 6,Family type,Couple without child(ren),Proportions,13.7, 1.5,
2018,Overall life satisfaction,0 to 6,Family type,Couple with child(ren),Proportions,16.1, 1.8,
2018,Overall life satisfaction,0 to 6,Family type,One parent with child(ren),Proportions,30.9, 3.7,
2018,Overall life satisfaction,0 to 6,Family type,Not in a family nucleus,Proportions,26.1, 2.2,
2018,Overall life satisfaction,0 to 6,Migrant status,Born in NZ,Proportions,19.5, 1.2,
2018,Overall life satisfaction,0 to 6,Migrant status,Long-term migrant,Proportions,18.1, 2.0,
2018,Overall life satisfaction,0 to 6,Migrant status,Recent migrant,Proportions,14.9, 4.2,
2018,Overall life satisfaction,0 to 6,Ethnicity,European,Proportions,17.9, 1.1,
2018,Overall life satisfaction,0 to 6,Ethnicity,Māori,Proportions,23.0, 3.4,
2018,Overall life satisfaction,0 to 6,Ethnicity,Pacific peoples,Proportions,23.3, 3.7,
2018,Overall life satisfaction,0 to 6,Ethnicity,Asian,Proportions,19.7, 3.3,
2018,Overall life satisfaction,0 to 6,Region,Northland,Proportions,19.5, 6.9,*
2018,Overall life satisfaction,0 to 6,Region,Auckland,Proportions,19.8, 1.9,
2018,Overall life satisfaction,0 to 6,Region,Waikato,Proportions,20.2, 3.2,
2018,Overall life satisfaction,0 to 6,Region,Bay of Plenty,Proportions,18.4, 3.9,
2018,Overall life satisfaction,0 to 6,Region,Gisborne/Hawke's Bay,Proportions,18.5, 4.3,
2018,Overall life satisfaction,0 to 6,Region,Taranaki,Proportions,16.0, 4.8,
2018,Overall life satisfaction,0 to 6,Region,Manawatū-Whanganui,Proportions,19.4, 4.5,
2018,Overall life satisfaction,0 to 6,Region,Wellington,Proportions,17.9, 2.7,
2018,Overall life satisfaction,0 to 6,Region,Nelson/Tasman/Marlborough/West Coast,Proportions,16.4, 5.4,*
2018,Overall life satisfaction,0 to 6,Region,Canterbury,Proportions,18.3, 2.5,
2018,Overall life satisfaction,0 to 6,Region,Otago,Proportions,16.9, 4.6,
2018,Overall life satisfaction,0 to 6,Region,Southland,Proportions,18.3, 8.2,*
2014,Overall life satisfaction,Mean rating,Total population,Total population,Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.0,
2014,Overall life satisfaction,Mean rating,Life stage (years),15-24 years,Means(average score from a scale 0 to 10 not a percentage), 7.7, 0.1,
2014,Overall life satisfaction,Mean rating,Life stage (years),25-44 years,Means(average score from a scale 0 to 10 not a percentage), 7.6, 0.1,
2014,Overall life satisfaction,Mean rating,Life stage (years),45-64 years,Means(average score from a scale 0 to 10 not a percentage), 7.7, 0.1,
2014,Overall life satisfaction,Mean rating,Life stage (years),65 years and over,Means(average score from a scale 0 to 10 not a percentage), 8.3, 0.1,
2014,Overall life satisfaction,Mean rating,Age group (years),15-24 years,Means(average score from a scale 0 to 10 not a percentage), 7.7, 0.1,
2014,Overall life satisfaction,Mean rating,Age group (years),25-34 years,Means(average score from a scale 0 to 10 not a percentage), 7.6, 0.1,
2014,Overall life satisfaction,Mean rating,Age group (years),35-44 years,Means(average score from a scale 0 to 10 not a percentage), 7.7, 0.1,
2014,Overall life satisfaction,Mean rating,Age group (years),45-54 years,Means(average score from a scale 0 to 10 not a percentage), 7.6, 0.1,
2014,Overall life satisfaction,Mean rating,Age group (years),55-64 years,Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.1,
2014,Overall life satisfaction,Mean rating,Age group (years),65-74 years,Means(average score from a scale 0 to 10 not a percentage), 8.2, 0.1,
2014,Overall life satisfaction,Mean rating,Age group (years),75 years and over,Means(average score from a scale 0 to 10 not a percentage), 8.3, 0.1,
2014,Overall life satisfaction,Mean rating,Sex,Male,Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.1,
2014,Overall life satisfaction,Mean rating,Sex,Female,Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.1,
2014,Overall life satisfaction,Mean rating,Labour force status,Employed,Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.1,
2014,Overall life satisfaction,Mean rating,Labour force status,Unemployed,Means(average score from a scale 0 to 10 not a percentage), 7.0, 0.2,
2014,Overall life satisfaction,Mean rating,Labour force status,Not in the labour force,Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.1,
2014,Overall life satisfaction,Mean rating,Highest qualification,No qualification,Means(average score from a scale 0 to 10 not a percentage), 7.7, 0.1,
2014,Overall life satisfaction,Mean rating,Highest qualification,Level 1-4 certificate,Means(average score from a scale 0 to 10 not a percentage), 7.7, 0.1,
2014,Overall life satisfaction,Mean rating,Highest qualification,Level 5-6 diploma,Means(average score from a scale 0 to 10 not a percentage), 7.7, 0.1,
2014,Overall life satisfaction,Mean rating,Highest qualification,Level 7 and above,Means(average score from a scale 0 to 10 not a percentage), 7.9, 0.1,
2014,Overall life satisfaction,Mean rating,Household income,"$30,000 or less",Means(average score from a scale 0 to 10 not a percentage), 7.4, 0.1,
2014,Overall life satisfaction,Mean rating,Household income,"$30,001-$70,000",Means(average score from a scale 0 to 10 not a percentage), 7.7, 0.1,
2014,Overall life satisfaction,Mean rating,Household income,"$70,001-$100,000",Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.1,
2014,Overall life satisfaction,Mean rating,Household income,"$100,001-$150,000",Means(average score from a scale 0 to 10 not a percentage), 7.9, 0.1,
2014,Overall life satisfaction,Mean rating,Household income,"$150,001 or more",Means(average score from a scale 0 to 10 not a percentage), 8.1, 0.1,
2014,Overall life satisfaction,Mean rating,Personal income,"$30,000 or less",Means(average score from a scale 0 to 10 not a percentage), 7.6, 0.1,
2014,Overall life satisfaction,Mean rating,Personal income,"$30,001-$70,000",Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.1,
2014,Overall life satisfaction,Mean rating,Personal income,"$70,001 or more",Means(average score from a scale 0 to 10 not a percentage), 8.1, 0.1,
2014,Overall life satisfaction,Mean rating,Housing tenure,Owner-occupied,Means(average score from a scale 0 to 10 not a percentage), 7.9, 0.0,
2014,Overall life satisfaction,Mean rating,Housing tenure,Not owner-occupied,Means(average score from a scale 0 to 10 not a percentage), 7.5, 0.1,
2014,Overall life satisfaction,Mean rating,Family type,Couple without child(ren),Means(average score from a scale 0 to 10 not a percentage), 8.1, 0.1,
2014,Overall life satisfaction,Mean rating,Family type,Couple with child(ren),Means(average score from a scale 0 to 10 not a percentage), 7.9, 0.1,
2014,Overall life satisfaction,Mean rating,Family type,One parent with child(ren),Means(average score from a scale 0 to 10 not a percentage), 7.1, 0.2,
2014,Overall life satisfaction,Mean rating,Family type,Not in a family nucleus,Means(average score from a scale 0 to 10 not a percentage), 7.5, 0.1,
2014,Overall life satisfaction,Mean rating,Migrant status,Born in NZ,Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.0,
2014,Overall life satisfaction,Mean rating,Migrant status,Long-term migrant,Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.1,
2014,Overall life satisfaction,Mean rating,Migrant status,Recent migrant,Means(average score from a scale 0 to 10 not a percentage), 8.0, 0.3,
2014,Overall life satisfaction,Mean rating,Ethnicity,European,Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.0,
2014,Overall life satisfaction,Mean rating,Ethnicity,Māori,Means(average score from a scale 0 to 10 not a percentage), 7.6, 0.1,
2014,Overall life satisfaction,Mean rating,Ethnicity,Pacific peoples,Means(average score from a scale 0 to 10 not a percentage), 7.9, 0.2,
2014,Overall life satisfaction,Mean rating,Ethnicity,Asian,Means(average score from a scale 0 to 10 not a percentage), 7.7, 0.1,
2014,Overall life satisfaction,Mean rating,Region,Northland,Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.2,
2014,Overall life satisfaction,Mean rating,Region,Auckland,Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.1,
2014,Overall life satisfaction,Mean rating,Region,Waikato,Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.1,
2014,Overall life satisfaction,Mean rating,Region,Bay of Plenty,Means(average score from a scale 0 to 10 not a percentage), 7.9, 0.1,
2014,Overall life satisfaction,Mean rating,Region,Gisborne/Hawke's Bay,Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.2,
2014,Overall life satisfaction,Mean rating,Region,Taranaki,Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.2,
2014,Overall life satisfaction,Mean rating,Region,Manawatū-Whanganui,Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.2,
2014,Overall life satisfaction,Mean rating,Region,Wellington,Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.1,
2014,Overall life satisfaction,Mean rating,Region,Nelson/Tasman/Marlborough/West Coast,Means(average score from a scale 0 to 10 not a percentage), 7.7, 0.2,
2014,Overall life satisfaction,Mean rating,Region,Canterbury,Means(average score from a scale 0 to 10 not a percentage), 7.7, 0.1,
2014,Overall life satisfaction,Mean rating,Region,Otago,Means(average score from a scale 0 to 10 not a percentage), 7.7, 0.2,
2014,Overall life satisfaction,Mean rating,Region,Southland,Means(average score from a scale 0 to 10 not a percentage), 7.9, 0.2,
2016,Overall life satisfaction,Mean rating,Total population,Total population,Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.0,
2016,Overall life satisfaction,Mean rating,Life stage (years),15-24 years,Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.1,
2016,Overall life satisfaction,Mean rating,Life stage (years),25-44 years,Means(average score from a scale 0 to 10 not a percentage), 7.7, 0.1,
2016,Overall life satisfaction,Mean rating,Life stage (years),45-64 years,Means(average score from a scale 0 to 10 not a percentage), 7.7, 0.1,
2016,Overall life satisfaction,Mean rating,Life stage (years),65 years and over,Means(average score from a scale 0 to 10 not a percentage), 8.3, 0.1,
2016,Overall life satisfaction,Mean rating,Age group (years),15-24 years,Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.1,
2016,Overall life satisfaction,Mean rating,Age group (years),25-34 years,Means(average score from a scale 0 to 10 not a percentage), 7.7, 0.1,
2016,Overall life satisfaction,Mean rating,Age group (years),35-44 years,Means(average score from a scale 0 to 10 not a percentage), 7.6, 0.1,
2016,Overall life satisfaction,Mean rating,Age group (years),45-54 years,Means(average score from a scale 0 to 10 not a percentage), 7.7, 0.1,
2016,Overall life satisfaction,Mean rating,Age group (years),55-64 years,Means(average score from a scale 0 to 10 not a percentage), 7.7, 0.1,
2016,Overall life satisfaction,Mean rating,Age group (years),65-74 years,Means(average score from a scale 0 to 10 not a percentage), 8.2, 0.1,
2016,Overall life satisfaction,Mean rating,Age group (years),75 years and over,Means(average score from a scale 0 to 10 not a percentage), 8.4, 0.1,
2016,Overall life satisfaction,Mean rating,Sex,Male,Means(average score from a scale 0 to 10 not a percentage), 7.7, 0.1,
2016,Overall life satisfaction,Mean rating,Sex,Female,Means(average score from a scale 0 to 10 not a percentage), 7.9, 0.1,
2016,Overall life satisfaction,Mean rating,Labour force status,Employed,Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.0,
2016,Overall life satisfaction,Mean rating,Labour force status,Unemployed,Means(average score from a scale 0 to 10 not a percentage), 7.3, 0.3,
2016,Overall life satisfaction,Mean rating,Labour force status,Not in the labour force,Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.1,
2016,Overall life satisfaction,Mean rating,Highest qualification,No qualification,Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.1,
2016,Overall life satisfaction,Mean rating,Highest qualification,Level 1-4 certificate,Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.1,
2016,Overall life satisfaction,Mean rating,Highest qualification,Level 5-6 diploma,Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.1,
2016,Overall life satisfaction,Mean rating,Highest qualification,Level 7 and above,Means(average score from a scale 0 to 10 not a percentage), 7.9, 0.1,
2016,Overall life satisfaction,Mean rating,Household income,"$30,000 or less",Means(average score from a scale 0 to 10 not a percentage), 7.5, 0.1,
2016,Overall life satisfaction,Mean rating,Household income,"$30,001-$70,000",Means(average score from a scale 0 to 10 not a percentage), 7.7, 0.1,
2016,Overall life satisfaction,Mean rating,Household income,"$70,001-$100,000",Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.1,
2016,Overall life satisfaction,Mean rating,Household income,"$100,001-$150,000",Means(average score from a scale 0 to 10 not a percentage), 7.9, 0.1,
2016,Overall life satisfaction,Mean rating,Household income,"$150,001 or more",Means(average score from a scale 0 to 10 not a percentage), 8.0, 0.1,
2016,Overall life satisfaction,Mean rating,Personal income,"$30,000 or less",Means(average score from a scale 0 to 10 not a percentage), 7.7, 0.1,
2016,Overall life satisfaction,Mean rating,Personal income,"$30,001-$70,000",Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.1,
2016,Overall life satisfaction,Mean rating,Personal income,"$70,001 or more",Means(average score from a scale 0 to 10 not a percentage), 8.0, 0.1,
2016,Overall life satisfaction,Mean rating,Housing tenure,Owner-occupied,Means(average score from a scale 0 to 10 not a percentage), 8.0, 0.0,
2016,Overall life satisfaction,Mean rating,Housing tenure,Not owner-occupied,Means(average score from a scale 0 to 10 not a percentage), 7.5, 0.1,
2016,Overall life satisfaction,Mean rating,Family type,Couple without child(ren),Means(average score from a scale 0 to 10 not a percentage), 8.1, 0.1,
2016,Overall life satisfaction,Mean rating,Family type,Couple with child(ren),Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.1,
2016,Overall life satisfaction,Mean rating,Family type,One parent with child(ren),Means(average score from a scale 0 to 10 not a percentage), 7.4, 0.2,
2016,Overall life satisfaction,Mean rating,Family type,Not in a family nucleus,Means(average score from a scale 0 to 10 not a percentage), 7.5, 0.1,
2016,Overall life satisfaction,Mean rating,Migrant status,Born in NZ,Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.1,
2016,Overall life satisfaction,Mean rating,Migrant status,Long-term migrant,Means(average score from a scale 0 to 10 not a percentage), 7.9, 0.1,
2016,Overall life satisfaction,Mean rating,Migrant status,Recent migrant,Means(average score from a scale 0 to 10 not a percentage), 7.9, 0.2,
2016,Overall life satisfaction,Mean rating,Ethnicity,European,Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.0,
2016,Overall life satisfaction,Mean rating,Ethnicity,Māori,Means(average score from a scale 0 to 10 not a percentage), 7.6, 0.2,
2016,Overall life satisfaction,Mean rating,Ethnicity,Pacific peoples,Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.2,
2016,Overall life satisfaction,Mean rating,Ethnicity,Asian,Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.2,
2016,Overall life satisfaction,Mean rating,Region,Northland,Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.2,
2016,Overall life satisfaction,Mean rating,Region,Auckland,Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.1,
2016,Overall life satisfaction,Mean rating,Region,Waikato,Means(average score from a scale 0 to 10 not a percentage), 7.8, 0.2,
